distance,N1,N2,N3,N4,N5,N6,N7,N8
N1,0,3.773284,11.132559,20.038017,25.315061,32.716984,35.969471,41.284752
N2,3.773284,0,8.467421,17.429137,22.183294,29.676627,33.590354,38.188954
N3,11.132559,8.467421,0,8.983138,14.300368,21.613876,25.122969,30.196164
N4,20.038017,17.429137,8.983138,0,6.763912,13.161745,16.203819,21.7082
N5,25.315061,22.183294,14.300368,6.763912,0,7.540947,13.928199,16.005705
N6,32.716984,29.676627,21.613876,13.161745,7.540947,0,9.097599,8.59023
N7,35.969471,33.590354,25.122969,16.203819,13.928199,9.097599,0,11.492785
N8,41.284752,38.188954,30.196164,21.7082,16.005705,8.59023,11.492785,0
