distance,N1,N2,N3,N4,N5,N6,N7,N8
N1,0,4.099327,8.689661,10.227655,15.655212,18.162124,23.392151,29.401436
N2,4.099327,0,4.603749,6.984126,12.571428,14.802404,20.27864,26.558515
N3,8.689661,4.603749,0,4.603749,9.562158,11.21926,16.880801,23.392151
N4,10.227655,6.984126,4.603749,0,5.587302,7.938605,13.307468,19.581107
N5,15.655212,12.571428,9.562158,5.587302,0,2.896555,7.747349,14.004004
N6,18.162124,14.802404,11.21926,7.938605,2.896555,0,5.676083,12.246161
N7,23.392151,20.27864,16.880801,13.307468,7.747349,5.676083,0,6.596226
N8,29.401436,26.558515,23.392151,19.581107,14.004004,12.246161,6.596226,0
